info: maps file located at /proc/2800/maps opened. scan_level: 2

info: exename: /system/bin/app_process32
info: ### 188, size: 12288, name: , aac1f000-aac22000, type: 0
info: ### 189, size: 8192, name: , aac22000-aac24000, type: 0
info: ### 190, size: 12288, name: , aac25000-aac28000, type: 0
info: ### 191, size: 262144, name: , aac28000-aac68000, type: 0
info: ### 192, size: 4096, name: , ab0f3000-ab0f4000, type: 1
info: ### 193, size: 61440, name: , ab5f8000-ab607000, type: 0
info: ### 194, size: 6144000, name: , ac164000-ac740000, type: 1
info: ### 195, size: 4096, name: , aca43000-aca44000, type: 0
info: ### 196, size: 4194304, name: , af000000-af400000, type: 0
info: ### 197, size: 8192, name: , af422000-af424000, type: 0
info: ### 198, size: 8192, name: , b2ebb000-b2ebd000, type: 0
info: ### 199, size: 12288, name: , b2ebe000-b2ec1000, type: 0
info: ### 200, size: 8192, name: , b2ec3000-b2ec5000, type: 0
info: ### 201, size: 12288, name: , b2ecb000-b2ece000, type: 0
info: ### 202, size: 8192, name: , b2ece000-b2ed0000, type: 0
info: ### 203, size: 12288, name: , b2ed1000-b2ed4000, type: 0
info: ### 204, size: 4096, name: , b2ed5000-b2ed6000, type: 0
info: ### 205, size: 8192, name: , b2ede000-b2ee0000, type: 0
info: ### 206, size: 8192, name: , b2ee2000-b2ee4000, type: 0
info: ### 207, size: 8192, name: , b2ee8000-b2eea000, type: 0
info: ### 208, size: 8192, name: , b2eee000-b2ef0000, type: 0
info: ### 209, size: 24576, name: , b2ef2000-b2ef8000, type: 0
info: ### 210, size: 8192, name: , b2efa000-b2efc000, type: 0
info: ### 211, size: 8192, name: , b2efe000-b2f00000, type: 0
info: ### 212, size: 8396800, name: , b3bfe000-b4400000, type: 1
info: ### 213, size: 8192, name: , b448e000-b4490000, type: 0
info: ### 214, size: 16384, name: , b4494000-b4498000, type: 0
info: ### 215, size: 131072, name: , b459a000-b45ba000, type: 1
info: ### 216, size: 28672, name: , b582a000-b5831000, type: 1
info: ### 217, size: 61440, name: , b584f000-b585e000, type: 1
info: ### 218, size: 65536, name: , b599c000-b59ac000, type: 1
info: ### 219, size: 4096, name: , b5e0d000-b5e0e000, type: 1
info: ### 220, size: 20480, name: , b5e80000-b5e85000, type: 1
info: ### 221, size: 20480, name: , b6313000-b6318000, type: 0
info: ### 222, size: 16384, name: , b6878000-b687c000, type: 0
info: ### 223, size: 4096, name: , b688b000-b688c000, type: 1
info: ### 224, size: 16384, name: , b6c40000-b6c44000, type: 0
info: ### 225, size: 4096, name: , b6f91000-b6f92000, type: 1
info: ### 226, size: 8192, name: , b71cc000-b71ce000, type: 0
info: ### 227, size: 12288, name: , b735d000-b7360000, type: 1
info: ### 228, size: 40960, name: , b74b2000-b74bc000, type: 0
info: ### 229, size: 4096, name: , b771d000-b771e000, type: 0
info: ### 230, size: 4096, name: , b771f000-b7720000, type: 0
info: ### 231, size: 8192, name: , b7721000-b7723000, type: 0
info: ### 232, size: 8192, name: , b7759000-b775b000, type: 0
info: ### 233, size: 4096, name: , b7760000-b7761000, type: 2
info: ### 234, size: 8384512, name: [stack], bf07a000-bf879000, type: 4
info: 235 suitable regions found. sizeSearchTotal: 808005632 bytes, 789068 kb, 770 m
